'Customer ID',Recency,Frequency,MonetaryValue,Recency_score,Frequency_score,Monetary_score,cluster,ChurnRisk_description
16594,70,1,181.09,3,1,1,cluster4,'Alto Risco'
14757,70,1,420.5,3,1,2,cluster4,'Médio Risco'
13670,70,1,349.7,3,1,2,cluster4,'Médio Risco'
12783,28,5,1825.33,4,4,4,cluster1,'Muito Baixo Risco'
13429,6,4,1006.8,5,3,3,cluster5,'Baixo Risco'
13390,70,1,544.08,3,1,2,cluster4,'Médio Risco'
18205,31,2,517.36,4,2,2,cluster4,'Baixo Risco'
15492,23,2,659.46,4,2,3,cluster4,'Baixo Risco'
15344,27,2,460.64,4,2,2,cluster4,'Baixo Risco'
13866,69,1,145.67,3,1,1,cluster4,'Alto Risco'
12612,69,1,704.04,3,1,3,cluster4,'Médio Risco'
16999,18,2,484.82,5,2,2,cluster4,'Baixo Risco'
13314,59,2,589.47,4,2,2,cluster4,'Baixo Risco'
16181,68,1,305.54,3,1,2,cluster4,'Médio Risco'
15568,40,2,422.52,4,2,2,cluster4,'Baixo Risco'
14109,68,1,144.2,3,1,1,cluster4,'Alto Risco'
16157,11,3,656.69,5,3,3,cluster5,'Baixo Risco'
15348,67,1,158.04,3,1,1,cluster4,'Alto Risco'
13924,13,5,1536.45,5,4,4,cluster1,'Muito Baixo Risco'
14434,17,6,1372.8,5,4,4,cluster1,'Muito Baixo Risco'
13061,67,1,248.61,3,1,1,cluster4,'Alto Risco'
16909,67,1,379.14,3,1,2,cluster4,'Médio Risco'
18192,67,1,957.97,3,1,3,cluster4,'Médio Risco'
17447,35,2,541.53,4,2,2,cluster4,'Baixo Risco'
17427,67,1,100.8,3,1,1,cluster4,'Alto Risco'
15175,67,1,224.14,3,1,1,cluster4,'Alto Risco'
13960,16,2,230.22,5,2,1,cluster4,'Baixo Risco'
17528,13,7,3428,5,4,5,cluster1,'Muito Baixo Risco'
16361,5,4,896.66,5,3,3,cluster5,'Baixo Risco'
13886,66,1,243.56,3,1,1,cluster4,'Alto Risco'
13354,66,1,743.53,3,1,3,cluster4,'Médio Risco'
16653,11,2,1212.66,5,2,3,cluster4,'Baixo Risco'
13759,28,2,659.41,4,2,3,cluster4,'Baixo Risco'
17813,9,5,1770.88,5,4,4,cluster1,'Muito Baixo Risco'
12718,66,1,238.25,3,1,1,cluster4,'Alto Risco'
15949,12,2,364.72,5,2,2,cluster4,'Baixo Risco'
13364,66,1,134.96,3,1,1,cluster4,'Alto Risco'
16268,66,2,667.65,3,2,3,cluster4,'Médio Risco'
15565,45,2,173.16,4,2,1,cluster4,'Médio Risco'
13954,66,1,227.41,3,1,1,cluster4,'Alto Risco'
15593,66,1,199.8,3,1,1,cluster4,'Alto Risco'
13095,66,1,74.4,3,1,1,cluster4,'Alto Risco'
13347,65,1,341.36,3,1,2,cluster4,'Médio Risco'
15185,65,1,310.62,3,1,2,cluster4,'Médio Risco'
