@relation 60_dados_treino

@attribute 'Customer ID' numeric
@attribute Recency numeric
@attribute Frequency numeric
@attribute MonetaryValue numeric
@attribute Recency_score {1,2,3,4,5}
@attribute Frequency_score {1,2,3,4,5}
@attribute Monetary_score {1,2,3,4,5}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5}
@attribute ChurnRisk_description {'Muito Baixo Risco', 'Baixo Risco','Médio Risco','Alto Risco','Muito Alto Risco'}

@data
18123,19,3,684.59,5,3,3,cluster5,'Baixo Risco'
17034,11,5,1283.92,5,4,4,cluster1,'Muito Baixo Risco'
15332,361,6,6553.74,2,4,5,cluster2,'Baixo Risco'
18096,7,6,1805.28,5,4,4,cluster1,'Muito Baixo Risco'
16172,90,8,1884.55,3,4,4,cluster2,'Baixo Risco'
14007,508,1,79.48,1,1,1,cluster3,'Muito Alto Risco'
15530,17,5,1813.72,5,4,4,cluster1,'Muito Baixo Risco'
17559,508,1,167.62,1,1,1,cluster3,'Muito Alto Risco'
17783,67,3,379.91,3,3,2,cluster5,'Médio Risco'
13255,5,3,904.46,5,3,3,cluster5,'Baixo Risco'
14084,507,1,150.5,1,1,1,cluster3,'Muito Alto Risco'
16251,507,1,128.31,1,1,1,cluster3,'Muito Alto Risco'
17968,369,4,888.04,2,3,3,cluster5,'Médio Risco'
18021,505,2,227.06,1,2,1,cluster3,'Alto Risco'
15908,486,2,764.57,1,2,3,cluster3,'Alto Risco'
17921,59,10,2423.5,4,5,4,cluster1,'Muito Baixo Risco'
15452,25,6,1799.11,4,4,4,cluster1,'Muito Baixo Risco'
13959,74,6,1076.18,3,4,3,cluster2,'Baixo Risco'
17680,19,3,497.45,5,3,2,cluster5,'Baixo Risco'
12977,151,4,517.63,3,3,2,cluster5,'Médio Risco'
16128,13,11,3801.05,5,5,5,cluster1,'Muito Baixo Risco'
17541,505,1,124.46,1,1,1,cluster3,'Muito Alto Risco'
17261,505,1,230.44,1,1,1,cluster3,'Muito Alto Risco'
